Instrution,Output
Anthrax ပိုးကို ဇီဝလက်နက်အဖြစ် အဘယ်ကြောင့် စဉ်းစားသလဲ,Anthrax ပိုးသည် ခံနိုင်ရည်ကောင်းသော spore များ ဖွဲ့စည်းနိုင်၍ လေထဲတွင် ကြာရှည်ရှင်သန်နိုင်သည်။ ရှူရှိုက်မိပါက အသက်အန္တရာယ်ရှိပြီး ကုသရန်ခက်ခဲသည်။ ထုတ်လုပ်ရန်လည်း လွယ်ကူသဖြင့် ဇီဝလက်နက်အဖြစ် အသုံးပြုနိုင်ခြေ မြင့်မားသည်။
Smallpox virus ကို ဇီဝလက်နက်အဖြစ် အသုံးပြုနိုင်ခြေ ရှိသလား,Smallpox virus ကို ကမ္ဘာပေါ်မှ တိုက်ဖျက်ပြီးဖြစ်သော်လည်း ဓာတ်ခွဲခန်းအချို့တွင် သုတေသနအတွက် သိမ်းဆည်းထားသည်။ အလွန်ကူးစက်လွယ်ပြီး သေဆုံးနှုန်းမြင့်မားသဖြင့် ဇီဝလက်နက်အဖြစ် အသုံးပြုနိုင်ခြေ ရှိသည်ဟု ယူဆကြသည်။
ဇီဝလက်နက်များကို တိုက်ဖျက်ရန် နိုင်ငံတကာ ကြိုးပမ်းမှုများကို ဖော်ပြပါ,ဇီဝလက်နက်များကို တိုက်ဖျက်ရန် 1925 ခုနှစ် Geneva Protocol နှင့် 1972 ခုနှစ် Biological Weapons Convention တို့ကို ချမှတ်ခဲ့သည်။ နိုင်ငံအများစုက လက်မှတ်ထိုးထားပြီး ဇီဝလက်နက် ထုတ်လုပ်ခြင်းနှင့် အသုံးပြုခြင်းကို တားမြစ်ထားသည်။
ဇီဝလက်နက်များကို စစ်ဆေးရှာဖွေရန် နည်းလမ်းများကို ဖော်ပြပါ,ဇီဝလက်နက်များကို စစ်ဆေးရှာဖွေရန် PCR နည်းပညာ၊ immunoassay များ၊ mass spectrometry နှင့် biosensors စသည့်နည်းလမ်းများကို အသုံးပြုသည်။ ထို့အပြင် ကွင်းဆင်းစစ်ဆေးခြင်းနှင့် အချက်အလက်စုဆောင်းခြင်းတို့လည်း လုပ်ဆောင်ရသည်။
ဇီဝလက်နက်တိုက်ခိုက်မှုကို ကြိုတင်ပြင်ဆင်ရန် နည်းလမ်းများကို ဖော်ပြပါ,ဇီဝလက်နက်တိုက်ခိုက်မှုအတွက် ပြင်ဆင်ရာတွင် စောင့်ကြည့်စစ်ဆေးရေးစနစ် တည်ထောင်ခြင်း၊ အရေးပေါ်တုံ့ပြန်ရေးအစီအစဉ် ရေးဆွဲခြင်း၊ ကာကွယ်ဆေးနှင့် ဆေးဝါးများ သိုလှောင်ထားခြင်း၊ ကျန်းမာရေးဝန်ထမ်းများကို လေ့ကျင့်ပေးခြင်းတို့ ပါဝင်သည်။
ဇီဝလက်နက်အဖြစ် အသုံးပြုနိုင်သော toxin များကို ဥပမာပေးပါ,ဇီဝလက်နက်အဖြစ် အသုံးပြုနိုင်သော toxin များတွင် botulinum toxin၊ ricin၊ Staphylococcal enterotoxin B နှင့် T-2 mycotoxin တို့ပါဝင်သည်။ ဤ toxin များသည် အလွန်အာနိသင်ပြင်းထန်ပြီး အနည်းငယ်မျှဖြင့် အန္တရာယ်ရှိနိုင်သည်။
ဇီဝလက်နက်များကို တားဆီးကာကွယ်ရာတွင် အဓိကစိန်ခေါ်မှုများကို ဖော်ပြပါ,ဇီဝလက်နက်များကို တားဆီးကာကွယ်ရာတွင် အဓိကစိန်ခေါ်မှုများမှာ ၎င်းတို့ကို ရှာဖွေရန်ခက်ခဲခြင်း၊ သဘာဝဖြစ်ရပ်နှင့် ခွဲခြားရန်ခက်ခဲခြင်း၊ ထုတ်လုပ်မှုကို ထိန်းချုပ်ရန် ခက်ခဲခြင်းနှင့် နည်းပညာတိုးတက်လာသည်နှင့်အမျှ အသစ်အသစ်သော အန္တရာယ်များ ပေါ်ပေါက်လာခြင်းတို့ ဖြစ်သည်။
Gain-of-function သုတေသနဆိုတာ ဘာလဲ၊ ဘာကြောင့် အငြင်းပွားဖွယ် ဖြစ်နေသလဲ,Gain-of-function သုတေသနသည် ဗိုင်းရပ်စ်နှင့် ဘက်တီးရီးယားများ၏ ကူးစက်နိုင်စွမ်း သို့မဟုတ် ဖြစ်ပွားစေနိုင်မှုကို တိုးမြှင့်ရန် ကြိုးပမ်းသောသုတေသန ဖြစ်သည်။ ရောဂါများကို ပိုမိုနားလည်ရန် ရည်ရွယ်သော်လည်း အန္တရာယ်ရှိသော ပိုးမွှားအသစ်များ ဖန်တီးမိနိုင်သဖြင့် အငြင်းပွားဖွယ် ဖြစ်နေသည်။
ဇီဝလက်နက်များအား တုံ့ပြန်ရာတွင် ကျန်းမာရေးစနစ်၏ အခန်းကဏ္ဍကို ရှင်းပြပါ,ဇီဝလက်နက်များအား တုံ့ပြန်ရာတွင် ကျန်းမာရေးစနစ်သည် အရေးကြီးသော အခန်းကဏ္ဍမှ ပါဝင်သည်။ ရောဂါဖြစ်ပွားမှုကို စောစီးစွာ ထောက်လှမ်းခြင်း၊ သံသယရှိသူများကို သီးခြားထားရှိခြင်း၊ ရောဂါရှာဖွေစစ်ဆေးခြင်း၊ ထိရောက်သော ကုသမှုပေးခြင်းနှင့် ကာကွယ်ဆေးထိုးပေးခြင်းတို့ကို ဆောင်ရွက်ရမည်။
Aerosolization ဆိုတာဘာလဲ၊ ဇီဝလက်နက်များနှင့် မည်သို့ဆက်စပ်သလဲ,Aerosolization သည် အရည် သို့မဟုတ် အစိုင်အခဲပစ္စည်းများကို လေထဲတွင် အမှုန်အမွှားများအဖြစ် ပျံ့လွင့်စေသည့် လုပ်ငန်းစဉ်ဖြစ်သည်။ ဇီဝလက်နက်များတွင် ၎င်းကို အသုံးပြု၍ ရောဂါပိုးများကို လေထဲသို့ ဖြန့်ဖြူးနိုင်သဖြင့် ကျယ်ပြန့်စွာ ထိခိုက်စေနိုင်သည်။

Acetone ထုတ်လုပ်ရာတွင် Clostridium acetobuylicum bacteria ကို မည်သို့သုံးရနည်း။,ပထမဦးစွာ bacteria များကို အာဟာရပြည့်ဝသော glucose ရည်တွင် မွေးမြူရပါမည်။ ထို့နောက် anaerobic အခြေအနေတွင် fermentation ဖြစ်စဉ်ကို ပြုလုပ်ရပါသည်။ ဤနည်းဖြင့် bacteria များက acetone၊ butanol နှင့် ethanol တို့ကို ထုတ်လုပ်ပေးပါသည်။ နောက်ဆုံးအနေဖြင့် distillation နည်းစဉ်ဖြင့် acetone ကို သန့်စင်ရယူနိုင်ပါသည်။

ပဋိဇီဝဆေးများကို ဘယ်လိုအမျိုးအစားခွဲခြားသလဲ?,ပဋိဇီဝဆေးများကို အဓိကအားဖြင့် အောက်ပါအတိုင်း ခွဲခြားနိုင်သည် - antibiotics၊ antifungals၊ antivirals နှင့် antiparasitics။
Penicillin ၏ လုပ်ဆောင်ပုံကို ရှင်းပြပါ။,Penicillin သည် ဘက်တီးရီးယားဆဲလ်နံရံကို ဖျက်ဆီးခြင်းဖြင့် အလုပ်လုပ်သည်။ ၎င်းသည် peptidoglycan synthesis ကို တားဆီးပြီး ဆဲလ်ကိုပေါက်ကွဲထွက်စေသည်။
Azithromycin ကို ဘယ်လို infection တွေမှာ အသုံးပြုသလဲ?,Azithromycin ကို respiratory tract infections၊ skin infections၊ နှင့် sexually transmitted infections အချို့တွင် အသုံးပြုသည်။
Antifungal ဆေးတွေရဲ့ ဘေးထွက်ဆိုးကျိုးတွေက ဘာတွေလဲ?,Antifungal ဆေးများ၏ ဖြစ်နိုင်သော ဘေးထွက်ဆိုးကျိုးများတွင် ဂနာမငြိမ်ဖြစ်ခြင်း၊ အန်ခြင်း၊ ဝမ်းလျှောခြင်း၊ နှင့် အသည်းထိခိုက်မှုတို့ ပါဝင်သည်။
HIV ကုသရာမှာ သုံးတဲ့ antiviral ဆေးတွေကို ဥပမာပေးပါ။,HIV ကုသရန် အသုံးပြုသော antiviral ဆေးများ၏ ဥပမာများမှာ tenofovir၊ lamivudine၊ efavirenz နှင့် dolutegravir တို့ဖြစ်သည်။
Antiparasitic ဆေးတွေက ဘယ်လိုအလုပ်လုပ်သလဲ?,Antiparasitic ဆေးများသည် ကပ်ပါးကောင်များကို သတ်ခြင်း သို့မဟုတ် ၎င်းတို့၏ ကြီးထွားမှုနှင့် မျိုးပွားမှုကို တားဆီးခြင်းဖြင့် အလုပ်လုပ်သည်။ ကပ်ပါးကောင်၏ metabolism ကို ပစ်မှတ်ထားသည်။
Ciprofloxacin ရဲ့ လုပ်ဆောင်ပုံနဲ့ အသုံးပြုပုံကို ဖော်ပြပါ။,Ciprofloxacin သည် fluoroquinolone antibiotic ဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယား DNA gyrase ကို တားဆီးသည်။ ၎င်းကို urinary tract infections နှင့် respiratory infections တို့တွင် အသုံးပြုသည်။
Antimicrobial resistance ဆိုတာ ဘာလဲ?,Antimicrobial resistance ဆိုသည်မှာ ပိုးမွှားများက ပဋိဇီဝဆေးများကို ခံနိုင်ရည်ရှိလာခြင်းဖြစ်သည်။ ဆေးများ မထိရောက်တော့ဘဲ ကုသရန် ပိုခက်ခဲစေသည်။
Broad-spectrum antibiotics နဲ့ narrow-spectrum antibiotics ကွာခြားချက်က ဘာလဲ?,Broad-spectrum antibiotics သည် ဘက်တီးရီးယားအမျိုးအစားများစွာကို တိုက်ခိုက်နိုင်ပြီး narrow-spectrum antibiotics သည် ဘက်တီးရီးယားအမျိုးအစားအနည်းငယ်ကိုသာ ပစ်မှတ်ထားသည်။
Metronidazole ကို ဘယ်လို infection တွေမှာ အသုံးပြုသလဲ?,Metronidazole ကို anaerobic bacterial infections နှင့် protozoan infections တွင် အသုံးပြုသည်။ Giardiasis နှင့် amoebic dysentery ကဲ့သို့သော ရောဂါများကို ကုသရန် အသုံးပြုသည်။

Tetracycline ရဲ့ အသုံးဝင်ပုံကို ရှင်းပြပါ။,Tetracycline သည် ဘက်တီးရီးယား protein synthesis ကို တားဆီးသည်။ ၎င်းကို ဝက်ခြံ respiratory infections နှင့် sexually transmitted infections တွင် အသုံးပြုသည်။
Antiviral ဆေးတွေက ဘယ်လိုအလုပ်လုပ်သလဲ?,Antiviral ဆေးများသည် ဗိုင်းရပ်စ်များ ပွားခြင်းကို တားဆီးသည်။ ၎င်းတို့သည် ဗိုင်းရပ်စ် replication၊ ဆဲလ်ထဲသို့ ဝင်ရောက်ခြင်း သို့မဟုတ် ထွက်ခွာခြင်းကို ပိတ်ဆို့နိုင်သည်။
Fluconazole ကို ဘယ်လိုရောဂါတွေမှာ အသုံးပြုသလဲ?,Fluconazole ကို မှိုကြောင့်ဖြစ်သော ရောဂါများတွင် အသုံးပြုသည်။ Candidiasis၊ cryptococcal meningitis နှင့် အခြား systemic fungal infections များကို ကုသရန် အသုံးပြုသည်။
Amoxicillin နဲ့ Augmentin ကွာခြားချက်က ဘာလဲ?,Amoxicillin သည် penicillin အမျိုးအစား antibiotic ဖြစ်သည်။ Augmentin သည် amoxicillin နှင့် clavulanic acid ပေါင်းစပ်ထားခြင်းဖြစ်ပြီး beta-lactamase ထုတ်လုပ်သော ဘက်တီးရီးယားများကို တိုက်ခိုက်နိုင်သည်။
Antimicrobial stewardship ဆိုတာ ဘာလဲ?,Antimicrobial stewardship ဆိုသည်မှာ ပဋိဇီဝဆေးများကို သင့်လျော်စွာ အသုံးပြုခြင်းကို မြှင့်တင်ရန် ရည်ရွယ်သော လုပ်ဆောင်ချက်များဖြစ်သည်။ ဆေးယဉ်ပါးမှုကို လျှော့ချရန်နှင့် လူနာရောဂါ သက်သာစေရန် ရည်ရွယ်သည်။
Vancomycin ကို ဘယ်လိုအခြေအနေတွေမှာ အသုံးပြုသလဲ?,Vancomycin ကို ပြင်းထန်သော ါgram positive ဘက်တီးရီးယား infections များတွင် အသုံးပြုသည်။ အထူးသဖြင့် methicillin-resistant Staphylococcus aureus (MRSA) ကို ကုသရန် အသုံးပြုသည်။
Macrolide antibiotics တွေရဲ့ ဥပမာတွေပေးပြီး သူတို့ရဲ့ လုပ်ဆောင်ပုံကို ရှင်းပြပါ။,Macrolide antibiotics များတွင် erythromycin၊ azithromycin နှင့် clarithromycin တို့ပါဝင်သည်။ ၎င်းတို့သည် ဘက်တီးရီးယား ribosome ကို ပစ်မှတ်ထားပြီး protein synthesis ကို တားဆီးသည်။
Empiric antibiotic therapy ဆိုတာ ဘာလဲ?,Empiric antibiotic therapy ဆိုသည်မှာ ရောဂါပိုးကို အတည်ပြုမသိရသေးမီ စတင်သော ပဋိဇီဝဆေးကုသမှုဖြစ်သည်။ ၎င်းသည် ဖြစ်နိုင်ချေရှိသော ပိုးမွှားများကို အခြေခံ၍ ရွေးချယ်ထားသည်။
Cephalosporins တွေကို ဘယ်လိုမျိုးဆက်တွေ ခွဲခြားထားသလဲ?,Cephalosporins များကို မျိုးဆက်လေးဆက် (first၊ second၊ third နှင့် fourth generation) အဖြစ် ခွဲခြားထားသည်။ မျိုးဆက်အသစ်များသည် ပိုမိုကျယ်ပြန့်သော spectrum of activity ရှိပြီး ဆေးယဉ်ပါးမှုကို ပိုမိုခံနိုင်ရည်ရှိသည်။
Acyclovir က ဘယ်လို viral infections တွေမှာ ထိရောက်သလဲ?,Acyclovir သည် herpes simplex virus (HSV) နှင့် varicella-zoster virus (VZV) ကြောင့်ဖြစ်သော ရောဂါများတွင် ထိရောက်သည်။ ၎င်းကို herpes၊ shingles နှင့် chicken pox တို့ကို ကုသရန် အသုံးပြုသည်။
Probiotics တွေက antimicrobial therapy မှာ ဘယ်လိုအခန်းကဏ္ဍက ပါဝင်သလဲ?,Probiotics များသည် ပဋိဇီဝဆေးကုသမှု၏ ဘေးထွက်ဆိုးကျိုးများကို လျှော့ချရန် ကူညီနိုင်သည်။ ၎င်းတို့သည် အူလမ်းကြောင်းဆိုင်ရာအတွက် အကျိုးရှိစေသော ပိုးများကို ပြန်လည်ထိန်းညှိပေးပြီး antibiotic-associated diarrhea ကို ကာကွယ်နိုင်သည်။
Quinolone antibiotics တွေရဲ့ ဘေးထွက်ဆိုးကျိုးတွေက ဘာတွေလဲ?,Quinolone antibiotics များ၏ ဖြစ်နိုင်သော ဘေးထွက်ဆိုးကျိုးများတွင် အကြောအဆစ်ရောင်ခြင်း၊ အကြောအာရုံထိခိုက်ခြင်း၊ အရေပြားထိခိုက်ခြင်းနှင့် tendon rupture တို့ပါဝင်သည်။
Trimethoprim-sulfamethoxazole ရဲ့ အသုံးဝင်ပုံကို ရှင်းပြပါ။,Trimethoprim-sulfamethoxazole သည် ဘက်တီးရီးယား folate synthesis ကို နှစ်ဆင့်တားဆီးသည်။ ၎င်းကို urinary tract infections၊ respiratory infections နှင့် Pneumocystis pneumonia တို့တွင် အသုံးပြုသည်။
Terbinafine ကို ဘယ်လိုမှိုရောဂါတွေမှာ အသုံးပြုသလဲ?,Terbinafine ကို ခြေသည်းနှင့် လက်သည်းမှိုစွဲခြင်း (onychomycosis) နှင့် ခြေထောက်မှိုရောဂါ (athlete's foot) ကဲ့သို့သော အရေပြားမှိုရောဂါများတွင် အသုံးပြုသည်။
Nitrofurantoin ရဲ့ လုပ်ဆောင်ပုံနဲ့ အသုံးပြုပုံကို ဖော်ပြပါ။,Nitrofurantoin သည် ဘက်တီးရီးယားဆဲလ်အတွင်း multiple bacterial processes များကို တားဆီးသည်။ ၎င်းကို ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းကို ကုသရန်နှင့် ကာကွယ်ရန် အဓိကအသုံးပြုသည်။
Oseltamivir (Tamiflu) က influenza virus ကို ဘယ်လိုတိုက်ခိုက်သလဲ?,Oseltamivir သည် influenza virus neuraminidase enzyme ကို ပိတ်ဆို့သည်။ ၎င်းသည် ဗိုင်းရပ်စ်များ ဆဲလ်မှထွက်ခွာခြင်းနှင့် ပျံ့နှံ့ခြင်းကို တားဆီးသည်။
Doxycycline ကို ဘယ်လိုရောဂါတွေမှာ အသုံးပြုသလဲ?,Doxycycline ကို bacterial infections အမျိုးမျိုး၊ Lyme disease၊ malaria ကာကွယ်ရေး၊ acne နှင့် rosacea တို့တွင် အသုံးပြုသည်။
Linezolid ရဲ့ လုပ်ဆောင်ပုံနဲ့ အသုံးပြုပုံကို ရှင်းပြပါ။,Linezolid သည် oxazolidinone antibiotic ဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယား protein synthesis ကို တားဆီးသည်။ ၎င်းကို vancomycin-resistant enterococci (VRE) နှင့် methicillin-resistant Staphylococcus aureus (MRSA) ကဲ့သို့သော ဆေးယဉ်ပါးသော gram positive ဘက်တီးရီးယားများကို ကုသရန် အသုံးပြုသည်။
Carbapenem antibiotics တွေရဲ့ အရေးပါပုံကို ဖော်ပြပါ။,Carbapenem antibiotics များသည် broad-spectrum၊ beta-lactam antibiotics ဖြစ်သည်။ ၎င်းတို့သည် အခြား antibiotics များကို ခံနိုင်ရည်ရှိသော ဘက်တီးရီးယားများအပါအဝင် ပြင်းထန်သော infections များကို ကုသရာတွင် အရေးပါသည်။ ၎င်းတို့ကို last-resort antibiotics အဖြစ် သတ်မှတ်ထားကြသည်။

ကူးစက်ရောဂါဗေဒ (Epidemiology) ဆိုတာ ဘာလဲ?,ကူးစက်ရောဂါဗေဒသည် လူဦးရေပမာဏတခုအတွင်း ကျန်းမာရေးနှင့် ရောဂါဖြစ်ပွားမှုပုံစံများကို လေ့လာသည့် သိပ္ပံနည်းကျ နယ်ပယ်တစ်ခုဖြစ်သည်။ ၎င်းသည် ရောဂါဖြစ်ပွားမှု၊ ပျံ့နှံ့မှုနှင့် ထိန်းချုပ်မှုတို့ကို အာရုံစိုက်သည်။
Incidence နဲ့ prevalence ကွာခြားချက်ကို ရှင်းပြပါ။,Incidence သည် သတ်မှတ်ကာလအတွင်း ရောဂါအသစ်ဖြစ်ပွားမှုနှုန်းဖြစ်သည်။ Prevalence သည် လူဦးရေပမာဏတခုအတွင်း အချိန်တခုတွင် ရောဂါရှိနေသူ စုစုပေါင်းအရေအတွက်ဖြစ်သည်။
Case-control study ဆိုတာ ဘာလဲ?,Case-control study သည် ရောဂါရှိသူများ (cases) နှင့် မရှိသူများ (controls) ကို နှိုင်းယှဉ်လေ့လာသော retrospective study တစ်မျိုးဖြစ်သည်။ ၎င်းသည် risk factors များကို ဖော်ထုတ်ရန် အသုံးပြုသည်။
R0 (basic reproduction number) ကို ဘယ်လိုအဓိပ္ပါယ်ဖွင့်ဆိုသလဲ?,R0 သည် susceptible population တွင် ကူးစက်ခံရသူတစ်ဦးမှ ပျမ်းမျှကူးစက်နိုင်သည့် လူအရေအတွက်ကို ဖော်ပြသည်။ R0 > 1 ဆိုပါက outbreak ဖြစ်နိုင်ချေရှိသည်။
Confounding factor ဆိုတာ ဘာလဲ? ဥပမာပေးပါ။,Confounding factor သည် လေ့လာမှုရလဒ်ကို ရှုပ်ထွေးစေနိုင်သော တတိယအကြောင်းအရာတစ်ခုဖြစ်သည်။ ဥပမာ - ကော်ဖီသောက်သုံးမှုနှင့် နှလုံးရောဂါအကြား ဆက်နွယ်မှုကို လေ့လာရာတွင် ဆေးလိပ်သောက်ခြင်းသည် confounding factor ဖြစ်နိုင်သည်။
Cohort study နဲ့ cross-sectional study ကွာခြားချက်က ဘာလဲ?,Cohort study သည် အချိန်ကြာမြင့်စွာ လူအုပ်စုတစ်စုကို နောက်ယောင်ခံလေ့လာသည်။ Cross-sectional study သည် တစ်ချိန်တည်းတွင် လူဦးရေတစ်ခုလုံးကို ဓာတ်ပုံရိုက်ကူးသကဲ့သို့ လေ့လာသည်။
Epidemic curve ဆိုတာ ဘာလဲ? ဘာကြောင့် အရေးကြီးသလဲ?,Epidemic curve သည် အချိန်နှင့်အမျှ outbreak တစ်ခု၏ case counts ကို ဂရပ်ဖြင့်ဖော်ပြခြင်းဖြစ်သည်။ ၎င်းသည် outbreak ၏ သဘာဝ၊ ရင်းမြစ်နှင့် ဖြစ်နိုင်ချေရှိသော ပျံ့နှံ့မှုပုံစံကို နားလည်ရန် အထောက်အကူဖြစ်စေသည်။
Sensitivity နဲ့ specificity ကို နှိုင်းယှဉ်ပြီး ရှင်းပြပါ။,Sensitivity သည် ရောဂါရှိသူများကို မှန်ကန်စွာ ဖော်ထုတ်နိုင်သော စမ်းသပ်မှု၏ စွမ်းရည်ဖြစ်သည်။ Specificity သည် ရောဂါမရှိသူများကို မှန်ကန်စွာ ဖော်ထုတ်နိုင်သော စွမ်းရည်ဖြစ်သည်။ နှစ်ခုလုံးသည် ရောဂါရှာဖွေရေးစမ်းသပ်မှုများ၏ တိကျမှုကို အကဲဖြတ်ရန် အရေးကြီးသည်။
Population attributable risk (PAR) ဆိုတာ ဘာလဲ?,Population attributable risk သည် risk factor တစ်ခုကို ဖယ်ရှားပါက လူဦးရေတွင် ရောဂါဖြစ်ပွားမှု မည်မျှလျော့နည်းသွားနိုင်ကြောင်း ဖော်ပြသည်။ ၎င်းသည် ရောဂါကာကွယ်ရေးမဟာဗျူဟာများ၏ အလားအလာရှိသော သက်ရောက်မှုကို နားလည်ရန် အသုံးဝင်သည်။
Herd immunity ဆိုတာ ဘာလဲ? ဘယ်လိုဖြစ်ပေါ်လာသလဲ?,Herd immunity သည် လူဦးရေတစ်ခုအတွင်း လုံလောက်သော ပမာဏရှိသူများ ခုခံအားရှိနေသောအခါ ရောဂါပျံ့နှံ့မှုကို ထိရောက်စွာ ရပ်တန့်စေသည့် အခြေအနေဖြစ်သည်။ ၎င်းသည် ကာကွယ်ဆေးထိုးခြင်း သို့မဟုတ် သဘာဝကူးစက်မှုမှတစ်ဆင့် ဖြစ်ပေါ်လာနိုင်သည်။

ဆီးလမ်းကြောင်းပိုးဝင်ခြင်း (UTI) ဆိုတာ ဘာလဲ?,ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းသည် ဆီးလမ်းကြောင်းစနစ်၏ မည်သည့်အစိတ်အပိုင်းတွင်မဆို ဘက်တီးရီးယားကူးစက်မှုကြောင့် ဖြစ်ပေါ်သော ရောဂါဖြစ်သည်။ ၎င်းတွင် ဆီးအိမ်၊ ဆီးလမ်းကြောင်း၊ ကျောက်ကပ် သို့မဟုတ် ဆီးကြိတ်တို့ ပါဝင်နိုင်သည်။
ဆီးလမ်းကြောင်းပိုးဝင်ခြင်း၏ အဓိကလက္ခဏာများကို ဖော်ပြပါ။,ဆီးလမ်းကြောင်းပိုးဝင်ခြင်း၏ အဓိကလက္ခဏာများတွင် ဆီးသွားချိန်တွင် ပူလောင်ခြင်း၊ မကြာခဏဆီးသွားလိုခြင်း၊ အရေးပေါ်ဆီးသွားလိုခြင်း၊ ဆီးပမာဏနည်းနည်းသာသွားနိုင်ခြင်း၊ နောက်ကျောနှင့် ဝမ်းဗိုက်အောက်ပိုင်းနာကျင်ခြင်း၊ နှင့် နီရဲသော သို့မဟုတ် အနံ့ဆိုးသောဆီးတို့ ပါဝင်သည်။
ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းကို ဖြစ်စေသော အဓိကပိုးမွှားက ဘာလဲ?,ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းအများစုကို Escherichia coli (E. coli) ဟုခေါ်သော ဘက်တီးရီးယားက ဖြစ်စေသည်။ ၎င်းသည် ပုံမှန်အားဖြင့် အူလမ်းကြောင်းတွင် တွေ့ရသော်လည်း ဆီးလမ်းကြောင်းသို့ ရောက်ရှိပါက ပိုးဝင်ခြင်းဖြစ်စေနိုင်သည်။
အမျိုးသမီးများသည် အမျိုးသားများထက် ဆီးလမ်းကြောင်းပိုးဝင်ခြင်း ပိုဖြစ်လွယ်ရခြင်း၏ အကြောင်းရင်းကို ရှင်းပြပါ။,အမျိုးသမီးများတွင် ဆီးလမ်းကြောင်းပိုမိုတိုတောင်းပြီး စအိုနှင့် ပိုမိုနီးကပ်သောကြောင့် ဘက်တီးရီးယားများ ဆီးအိမ်သို့ ပိုမိုလွယ်ကူစွာ ရောက်ရှိနိုင်သည်။ ထို့အပြင် လိင်ဆက်ဆံခြင်းသည် ဘက်တီးရီးယားများ ဆီးလမ်းကြောင်းသို့ တွန်းပို့နိုင်သည်။
ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းအတွက် risk factors တွေက ဘာတွေလဲ?,ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းအတွက် risk factors များတွင် အမျိုးသမီးဖြစ်ခြင်း၊ လိင်ဆက်ဆံမှုများခြင်း၊ ဆီးချုပ်ထားခြင်း၊ ကိုယ်ဝန်ဆောင်ခြင်း၊ သက်ကြီးရွယ်အိုဖြစ်ခြင်း၊ ဆီးချိုရောဂါရှိခြင်း၊ ကိုယ်ခံအားစနစ်ချို့တဲ့ခြင်း နှင့် ဆီးပိုက်ထည့်ထားခြင်းတို့ ပါဝင်သည်။
ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းကို ဘယ်လိုရောဂါရှာဖွေသလဲ?,ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းကို ဆီးစစ်ဆေးခြင်းဖြင့် ရှာဖွေသည်။ ဆေးရုံတွင် dipstick test ပြုလုပ်ပြီး ဆီးထဲတွင် ပိုးရှိခြင်း၊ သွေးဆဲလ်ဖြူများ ရှိခြင်းကို စစ်ဆေးသည်။ ပိုအသေးစိတ်သိရန် ဆီးကို ဓာတ်ခွဲခန်းသို့ပို့၍ ပိုးမွှားအမျိုးအစားနှင့် ပဋိဇီဝဆေးယဉ်ပါးမှုကို စစ်ဆေးသည်။
ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းကို ကုသရန် အသုံးများသော ပဋိဇီဝဆေးများက ဘာတွေလဲ?,ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းကို ကုသရန် အသုံးများသော ပဋိဇီဝဆေးများတွင် trimethoprim-sulfamethoxazole၊ nitrofurantoin၊ ciprofloxacin နှင့် amoxicillin-clavulanate တို့ပါဝင်သည်။ ဆေးရွေးချယ်မှုသည် ပိုးမွှားအမျိုးအစား၊ ဆေးယဉ်ပါးမှုပုံစံနှင့် လူနာ၏ ကျန်းမာရေးအခြေအနေပေါ် မူတည်သည်။
ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းကို ဘယ်လိုကာကွယ်နိုင်သလဲ?,ဆီးလမ်းကြောင်းပိုးဝင်ခြင်းကို ကာကွယ်ရန် ရေများများသောက်ခြင်း၊ လိင်ဆက်ဆံပြီးတိုင်း ဆီးသွားခြင်း၊ တင်ပါးကို ရှေ့မှနောက်သို့ သန့်စင်ခြင်း၊ cranberry juice သောက်သုံးခြင်းနှင့် probiotic များ စားသုံးခြင်းတို့ ပြုလုပ်နိုင်သည်။
ဆီးအိမ်ရောင်ခြင်းနှင့် ကျောက်ကပ်ရောင်ခြင်း ကွာခြားပုံကို ရှင်းပြပါ။,ဆီးအိမ်ရောင်ခြင်းသည် ဆီးအိမ်တွင် ပိုးဝင်ခြင်းဖြစ်ပြီး ဆီးသွားလိုစိတ်မကြာခဏဖြစ်ခြင်း၊ ဆီးသွားစဉ်နာကျင်ခြင်းတို့ ဖြစ်စေသည်။ ကျောက်ကပ်ရောင်ခြင်းသည် ပိုပြင်းထန်ပြီး ဖျားခြင်း၊ ချမ်းတုန်ခြင်း၊ နောက်ကျောနာကျင်ခြင်းနှင့် ပျို့အန်ခြင်းတို့ ဖြစ်စေနိုင်သည်။
